codigo;nome do produto;sexo;tamanho;cor;imagem;quantidade;valor de custo;perc lucro;valor de venda
1045;Macacão Pantacourt Alça Amarração ;Feminino;8 anos;Azul;WhatsApp Image 2022-09-27 at 20.13.41.jpeg (https://airtable.com/appSNyLz7926ZjOoy/tblZ3LajayOokAYnN/rec7OMIJK8O53cvKY/fldknrxBWGyUjOsAV/attp7iKTDDFwnophu), WhatsApp Image 2022-09-27 at 20.13.42 (1).jpeg (https://airtable.com/appSNyLz7926ZjOoy/tblZ3LajayOokAYnN/rec7OMIJK8O53cvKY/fldknrxBWGyUjOsAV/att6oCYqh7xvN6wGs), WhatsApp Image 2022-09-27 at 20.13.42 (2).jpeg (https://airtable.com/appSNyLz7926ZjOoy/tblZ3LajayOokAYnN/rec7OMIJK8O53cvKY/fldknrxBWGyUjOsAV/attkUkv1kqgwczugh), WhatsApp Image 2022-09-27 at 20.13.42.jpeg (https://airtable.com/appSNyLz7926ZjOoy/tblZ3LajayOokAYnN/rec7OMIJK8O53cvKY/fldknrxBWGyUjOsAV/attcjl8AZDR0ADLeM), WhatsApp Image 2022-09-27 at 20.13.43 (1).jpeg (https://airtable.com/appSNyLz7926ZjOoy/tblZ3LajayOokAYnN/rec7OMIJK8O53cvKY/fldknrxBWGyUjOsAV/att9ssrwIHseWFcTA), WhatsApp Image 2022-09-27 at 20.13.43.jpeg (https://airtable.com/appSNyLz7926ZjOoy/tblZ3LajayOokAYnN/rec7OMIJK8O53cvKY/fldknrxBWGyUjOsAV/att5zvDuSyswdYLDm);1;R$32.17;75%;R$56.90
1047;Macacão Pantacourt Alça Amarração ;Feminino;12 anos;Azul;WhatsApp Image 2022-09-27 at 20.13.41.jpeg (https://airtable.com/appSNyLz7926ZjOoy/tblZ3LajayOokAYnN/recqNFjL8khDGBBmA/fldknrxBWGyUjOsAV/attp7iKTDDFwnophu), WhatsApp Image 2022-09-27 at 20.13.42 (1).jpeg (https://airtable.com/appSNyLz7926ZjOoy/tblZ3LajayOokAYnN/recqNFjL8khDGBBmA/fldknrxBWGyUjOsAV/att6oCYqh7xvN6wGs), WhatsApp Image 2022-09-27 at 20.13.42 (2).jpeg (https://airtable.com/appSNyLz7926ZjOoy/tblZ3LajayOokAYnN/recqNFjL8khDGBBmA/fldknrxBWGyUjOsAV/attkUkv1kqgwczugh), WhatsApp Image 2022-09-27 at 20.13.42.jpeg (https://airtable.com/appSNyLz7926ZjOoy/tblZ3LajayOokAYnN/recqNFjL8khDGBBmA/fldknrxBWGyUjOsAV/attcjl8AZDR0ADLeM), WhatsApp Image 2022-09-27 at 20.13.43 (1).jpeg (https://airtable.com/appSNyLz7926ZjOoy/tblZ3LajayOokAYnN/recqNFjL8khDGBBmA/fldknrxBWGyUjOsAV/att9ssrwIHseWFcTA), WhatsApp Image 2022-09-27 at 20.13.43.jpeg (https://airtable.com/appSNyLz7926ZjOoy/tblZ3LajayOokAYnN/recqNFjL8khDGBBmA/fldknrxBWGyUjOsAV/att5zvDuSyswdYLDm);1;R$32.17;75%;R$56.90
1048;Conjunto Longo Body + Calça Kikarinho;Feminino;P - Bebê;Sortido;;2;R$19.66;80%;R$35.90
1049;Conjunto Longo Body + Calça Kikarinho;Feminino;M - Bebê;Sortido;;2;R$19.66;80%;R$35.90
1050;Conjunto Longo Body + Calça Kikarinho;Feminino;G - Bebê;Sortido;;2;R$19.66;80%;R$35.90
1051;Conjunto Longo Body + Calça Kikarinho;Masculino;P - Bebê;Sortido;;2;R$19.66;80%;R$35.90
1052;Conjunto Longo Body + Calça Kikarinho;Masculino;M - Bebê;Sortido;;2;R$19.66;80%;R$35.90
1053;Conjunto Longo Body + Calça Kikarinho;Masculino;G - Bebê;Sortido;;2;R$19.66;80%;R$35.90
1058;"Kit 3 camisetas lisas Kikarinho";Masculino;G - Bebê;Sortido;;1;R$17.81;99%;R$35.90
1059;"Kit Saída Maternidade 3 peças Kikarinho ";Feminino;RN - Recém Nascido;Rosa;WhatsApp Image 2021-10-02 at 17.06.29 (2).jpeg (https://airtable.com/appSNyLz7926ZjOoy/tblZ3LajayOokAYnN/recoFnJk065YHho6L/fldknrxBWGyUjOsAV/att6k88ZFw7Cxe7ua);1;R$74.73;73%;R$129.90
1060;"Kit Tapa Fralda 3 unidades";Feminino;M - Bebê;Sortido;;3;R$23.18;75%;R$41.90
1062;Vestido Laís Bordado ;Feminino;P - Bebê;Azul;;1;R$25.42;75%;R$44.90
1063;Vestido Laís Bordado ;Feminino;M - Bebê;Azul;;1;R$25.42;75%;R$44.90
1064;Vestido Laís Bordado ;Feminino;G - Bebê;Azul;;1;R$25.42;75%;R$44.90
1065;Vestido Stella Branco Mundo Ray;Feminino;2 Anos;Branco;WhatsApp Image 2022-09-28 at 18.36.36 (2).jpeg (https://airtable.com/appSNyLz7926ZjOoy/tblZ3LajayOokAYnN/recm61OPxAX79Dh9t/fldknrxBWGyUjOsAV/attGuLLJ6P7szo3gr), WhatsApp Image 2022-09-28 at 18.36.36 (3).jpeg (https://airtable.com/appSNyLz7926ZjOoy/tblZ3LajayOokAYnN/recm61OPxAX79Dh9t/fldknrxBWGyUjOsAV/attd14JaNBi0nAM6q);2;R$15.12;227%;R$49.90
1066;Vestido Stella Branco Mundo Ray;Feminino;4 anos;Branco;WhatsApp Image 2022-09-28 at 18.36.36 (2).jpeg (https://airtable.com/appSNyLz7926ZjOoy/tblZ3LajayOokAYnN/recmx0ElUeukruhEH/fldknrxBWGyUjOsAV/attGuLLJ6P7szo3gr), WhatsApp Image 2022-09-28 at 18.36.36 (3).jpeg (https://airtable.com/appSNyLz7926ZjOoy/tblZ3LajayOokAYnN/recmx0ElUeukruhEH/fldknrxBWGyUjOsAV/attd14JaNBi0nAM6q);2;R$15.12;227%;R$49.90
1068;Vestido Corações Isabella Mundo Ray;Feminino;2 Anos;colorido;WhatsApp Image 2022-09-28 at 18.36.32 (1).jpeg (https://airtable.com/appSNyLz7926ZjOoy/tblZ3LajayOokAYnN/recLwHkdLftt9t2gK/fldknrxBWGyUjOsAV/attFGJjRaIq3ogjgb), WhatsApp Image 2022-09-28 at 18.36.32 (2).jpeg (https://airtable.com/appSNyLz7926ZjOoy/tblZ3LajayOokAYnN/recLwHkdLftt9t2gK/fldknrxBWGyUjOsAV/atttYGF7g5yz6q9xU), WhatsApp Image 2022-09-28 at 18.36.33.jpeg (https://airtable.com/appSNyLz7926ZjOoy/tblZ3LajayOokAYnN/recLwHkdLftt9t2gK/fldknrxBWGyUjOsAV/attmn91hnilUQHKNG);1;R$30.32;129%;R$69.90
1070;Vestido Corações Isabella Mundo Ray;Feminino;6 anos;colorido;WhatsApp Image 2022-09-28 at 18.36.32 (1).jpeg (https://airtable.com/appSNyLz7926ZjOoy/tblZ3LajayOokAYnN/recezB4n1bFerqXd0/fldknrxBWGyUjOsAV/attFGJjRaIq3ogjgb), WhatsApp Image 2022-09-28 at 18.36.32 (2).jpeg (https://airtable.com/appSNyLz7926ZjOoy/tblZ3LajayOokAYnN/recezB4n1bFerqXd0/fldknrxBWGyUjOsAV/atttYGF7g5yz6q9xU), WhatsApp Image 2022-09-28 at 18.36.33.jpeg (https://airtable.com/appSNyLz7926ZjOoy/tblZ3LajayOokAYnN/recezB4n1bFerqXd0/fldknrxBWGyUjOsAV/attmn91hnilUQHKNG);1;R$30.32;129%;R$69.90
1071;Vestido Corações Isabella Mundo Ray;Feminino;8 anos;colorido;WhatsApp Image 2022-09-28 at 18.36.32 (1).jpeg (https://airtable.com/appSNyLz7926ZjOoy/tblZ3LajayOokAYnN/rec8bbPlHhhUJozy5/fldknrxBWGyUjOsAV/attFGJjRaIq3ogjgb), WhatsApp Image 2022-09-28 at 18.36.32 (2).jpeg (https://airtable.com/appSNyLz7926ZjOoy/tblZ3LajayOokAYnN/rec8bbPlHhhUJozy5/fldknrxBWGyUjOsAV/atttYGF7g5yz6q9xU), WhatsApp Image 2022-09-28 at 18.36.33.jpeg (https://airtable.com/appSNyLz7926ZjOoy/tblZ3LajayOokAYnN/rec8bbPlHhhUJozy5/fldknrxBWGyUjOsAV/attmn91hnilUQHKNG);1;R$30.32;129%;R$69.90
