Código;Descrição;Unidade;NCM;Origem;Preço;Valor IPI fixo;Observações;Situação;Estoque;Preço de custo;Cód no fornecedor;Fornecedor;Localização;Estoque maximo;Estoque minimo;Peso líquido (Kg);Peso bruto (Kg);GTIN/EAN;GTIN/EAN da embalagem;Largura do Produto;Altura do Produto;Profundidade do produto;Data Validade;Descrição do Produto no Fornecedor;Descrição Complementar;Unidade por Caixa;Produto Variação;Tipo Produção;Classe de enquadramento do IPI;Código da lista de serviços;Tipo do item;Grupo de Tags/Tags;Tributos;Código Pai;Código Integração;Grupo de produtos;Marca;CEST;Volumes;Descrição Curta;Cross-Docking;URL Imagens Externas;Link Externo;Meses Garantia no Fornecedor;Clonar dados do pai;Condição do produto;Frete Grátis;Número FCI;Vídeo;Departamento;Unidade de medida;Preço de compra;Valor base ICMS ST para retenção;Valor ICMS ST para retenção;Valor ICMS próprio do substituto;Categoria do produto;Informações Adicionais
382;"Tamanho: 1 Ano;Sexo: Unisex";UN;62092000;0;R$25.30;;;Ativo;6;R$25.30;;;;;;;;;;;;;;"Tamanho: 1 Ano;Sexo: Unisex";"Tamanho: 1 Ano;Sexo: Unisex";1;;;;;produto;;;382;;;;28.059.00;1;"Tamanho: 1 Ano;Sexo: Unisex";;WhatsApp Image 2021-05-26 at 21_14_55 (3).jpeg (https://airtable.com/appSNyLz7926ZjOoy/tblZ3LajayOokAYnN/reciMBeWd6oCyVIgp/fldknrxBWGyUjOsAV/attmWQIoT8WPLGCE1);;;SIM;Novo;Não;;;;centímetro;;;;;;
383;"Tamanho: 2 Anos;Sexo: Unisex";UN;62092000;0;R$26.52;;;Ativo;3;R$26.52;;;;;;;;;;;;;;"Tamanho: 2 Anos;Sexo: Unisex";"Tamanho: 2 Anos;Sexo: Unisex";1;;;;;produto;;;382;;;;28.059.00;1;"Tamanho: 2 Anos;Sexo: Unisex";;WhatsApp Image 2021-05-26 at 21_14_55 (3).jpeg (https://airtable.com/appSNyLz7926ZjOoy/tblZ3LajayOokAYnN/recVXDK2xUiBnMaLi/fldknrxBWGyUjOsAV/attmWQIoT8WPLGCE1);;;SIM;Novo;Não;;;;centímetro;;;;;;
384;"Tamanho: 3 Anos;Sexo: Unisex";UN;62092000;0;R$26.52;;;Ativo;5;R$26.52;;;;;;;;;;;;;;"Tamanho: 3 Anos;Sexo: Unisex";"Tamanho: 3 Anos;Sexo: Unisex";1;;;;;produto;;;382;;;;28.059.00;1;"Tamanho: 3 Anos;Sexo: Unisex";;WhatsApp Image 2021-05-26 at 21_14_55 (3).jpeg (https://airtable.com/appSNyLz7926ZjOoy/tblZ3LajayOokAYnN/recijahOoxSCsRCt3/fldknrxBWGyUjOsAV/attmWQIoT8WPLGCE1);;;SIM;Novo;Não;;;;centímetro;;;;;;
PAI388;"Vestido/Camisola Alça Estampada Babado";UN;62092000;0;R$16.65;;;Ativo;1;R$16.65;;;;;;;;;;;;;;"Vestido/Camisola Alça Estampada Babado";"Vestido/Camisola Alça Estampada Babado";1;;;;;produto;;;;;;;28.059.00;1;"Vestido/Camisola Alça Estampada Babado";;20210604_165150.jpg (https://airtable.com/appSNyLz7926ZjOoy/tblZ3LajayOokAYnN/recl5UbfliJ5sCuTn/fldknrxBWGyUjOsAV/attwiUTI1yAmfS4Ud);;;false;Novo;Não;;;;centímetro;;;;;;
388;"Tamanho: 1 Ano;Sexo: Feminino";UN;62092000;0;R$16.65;;;Ativo;1;R$16.65;;;;;;;;;;;;;;"Tamanho: 1 Ano;Sexo: Feminino";"Tamanho: 1 Ano;Sexo: Feminino";1;;;;;produto;;;388;;;;28.059.00;1;"Tamanho: 1 Ano;Sexo: Feminino";;20210604_165150.jpg (https://airtable.com/appSNyLz7926ZjOoy/tblZ3LajayOokAYnN/recl5UbfliJ5sCuTn/fldknrxBWGyUjOsAV/attwiUTI1yAmfS4Ud);;;SIM;Novo;Não;;;;centímetro;;;;;;
389;"Tamanho: 2 Anos;Sexo: Feminino";UN;62092000;0;R$16.65;;;Ativo;1;R$16.65;;;;;;;;;;;;;;"Tamanho: 2 Anos;Sexo: Feminino";"Tamanho: 2 Anos;Sexo: Feminino";1;;;;;produto;;;388;;;;28.059.00;1;"Tamanho: 2 Anos;Sexo: Feminino";;20210604_165421.jpg (https://airtable.com/appSNyLz7926ZjOoy/tblZ3LajayOokAYnN/recw1yzqw9lOkf5kU/fldknrxBWGyUjOsAV/attwXmfh0diiQ6u96);;;SIM;Novo;Não;;;;centímetro;;;;;;
390;"Tamanho: 3 Anos;Sexo: Feminino";UN;62092000;0;R$16.65;;;Ativo;1;R$16.65;;;;;;;;;;;;;;"Tamanho: 3 Anos;Sexo: Feminino";"Tamanho: 3 Anos;Sexo: Feminino";1;;;;;produto;;;388;;;;28.059.00;1;"Tamanho: 3 Anos;Sexo: Feminino";;20210604_170153.jpg (https://airtable.com/appSNyLz7926ZjOoy/tblZ3LajayOokAYnN/recHejQiLjFedaql0/fldknrxBWGyUjOsAV/att0WqJ9hvXaG5QRF);;;SIM;Novo;Não;;;;centímetro;;;;;;
391;"Tamanho: 4 anos;Sexo: Feminino";UN;62092000;0;R$20.38;;;Ativo;1;R$20.38;;;;;;;;;;;;;;"Tamanho: 4 anos;Sexo: Feminino";"Tamanho: 4 anos;Sexo: Feminino";1;;;;;produto;;;388;;;;28.059.00;1;"Tamanho: 4 anos;Sexo: Feminino";;20210604_170350.jpg (https://airtable.com/appSNyLz7926ZjOoy/tblZ3LajayOokAYnN/recqGAH5txgwuNxnw/fldknrxBWGyUjOsAV/attzo1BRIIMyQdWf6);;;SIM;Novo;Não;;;;centímetro;;;;;;
PAI394;Vestido/Camisola Regata com calcinha Babado;UN;62092000;0;R$18.59;;;Ativo;1;R$18.59;;;;;;;;;;;;;;Vestido/Camisola Regata com calcinha Babado;Vestido/Camisola Regata com calcinha Babado;1;;;;;produto;;;;;;;28.059.00;1;Vestido/Camisola Regata com calcinha Babado;;20210604_163516.jpg (https://airtable.com/appSNyLz7926ZjOoy/tblZ3LajayOokAYnN/recgPsQhwqHdAFmuS/fldknrxBWGyUjOsAV/attnPhbLkuXU7Yag1);;;false;Novo;Não;;;;centímetro;;;;;;
394;"Tamanho: 1 Ano;Sexo: Feminino";UN;62092000;0;R$18.59;;;Ativo;1;R$18.59;;;;;;;;;;;;;;"Tamanho: 1 Ano;Sexo: Feminino";"Tamanho: 1 Ano;Sexo: Feminino";1;;;;;produto;;;394;;;;28.059.00;1;"Tamanho: 1 Ano;Sexo: Feminino";;20210604_163516.jpg (https://airtable.com/appSNyLz7926ZjOoy/tblZ3LajayOokAYnN/recgPsQhwqHdAFmuS/fldknrxBWGyUjOsAV/attnPhbLkuXU7Yag1);;;SIM;Novo;Não;;;;centímetro;;;;;;
395;"Tamanho: 2 Anos;Sexo: Feminino";UN;62092000;0;R$18.59;;;Ativo;1;R$18.59;;;;;;;;;;;;;;"Tamanho: 2 Anos;Sexo: Feminino";"Tamanho: 2 Anos;Sexo: Feminino";1;;;;;produto;;;394;;;;28.059.00;1;"Tamanho: 2 Anos;Sexo: Feminino";;20210604_163725.jpg (https://airtable.com/appSNyLz7926ZjOoy/tblZ3LajayOokAYnN/rec21WijArJd49QJb/fldknrxBWGyUjOsAV/attvl6xOp9nDHTMQX);;;SIM;Novo;Não;;;;centímetro;;;;;;
396;"Tamanho: 3 Anos;Sexo: Feminino";UN;62092000;0;R$18.59;;;Ativo;1;R$18.59;;;;;;;;;;;;;;"Tamanho: 3 Anos;Sexo: Feminino";"Tamanho: 3 Anos;Sexo: Feminino";1;;;;;produto;;;394;;;;28.059.00;1;"Tamanho: 3 Anos;Sexo: Feminino";;20210604_163428.jpg (https://airtable.com/appSNyLz7926ZjOoy/tblZ3LajayOokAYnN/recc0zSZP2sWtqj4N/fldknrxBWGyUjOsAV/att53a7Jy1XPkt48A);;;SIM;Novo;Não;;;;centímetro;;;;;;
398;"Tamanho: 6 anos;Sexo: Feminino";UN;62092000;0;R$22.22;;;Ativo;1;R$22.22;;;;;;;;;;;;;;"Tamanho: 6 anos;Sexo: Feminino";"Tamanho: 6 anos;Sexo: Feminino";1;;;;;produto;;;394;;;;28.059.00;1;"Tamanho: 6 anos;Sexo: Feminino";;20210604_164143.jpg (https://airtable.com/appSNyLz7926ZjOoy/tblZ3LajayOokAYnN/recsHW53iFVUHRimj/fldknrxBWGyUjOsAV/attpPkajnlOiVpRXi);;;SIM;Novo;Não;;;;centímetro;;;;;;
PAI400;"Fralda Ecológica";UN;62092000;0;R$12.87;;;Ativo;1;R$12.87;;;;;;;;;;;;;;"Fralda Ecológica";"Fralda Ecológica";1;;;;;produto;;;;;;;28.059.00;1;"Fralda Ecológica";;20210604_121310.jpg (https://airtable.com/appSNyLz7926ZjOoy/tblZ3LajayOokAYnN/recOCx8yE7Jad7hxr/fldknrxBWGyUjOsAV/att3dOnEi9Sca0Wjg);;;false;Novo;Não;;;;centímetro;;;;;;
400;"Tamanho: P - Bebê;Sexo: Feminino";UN;62092000;0;R$12.87;;;Ativo;1;R$12.87;;;;;;;;;;;;;;"Tamanho: P - Bebê;Sexo: Feminino";"Tamanho: P - Bebê;Sexo: Feminino";1;;;;;produto;;;400;;;;28.059.00;1;"Tamanho: P - Bebê;Sexo: Feminino";;20210604_121310.jpg (https://airtable.com/appSNyLz7926ZjOoy/tblZ3LajayOokAYnN/recOCx8yE7Jad7hxr/fldknrxBWGyUjOsAV/att3dOnEi9Sca0Wjg);;;SIM;Novo;Não;;;;centímetro;;;;;;
401;"Tamanho: M - Bebê;Sexo: Feminino";UN;62092000;0;R$12.87;;;Ativo;1;R$12.87;;;;;;;;;;;;;;"Tamanho: M - Bebê;Sexo: Feminino";"Tamanho: M - Bebê;Sexo: Feminino";1;;;;;produto;;;400;;;;28.059.00;1;"Tamanho: M - Bebê;Sexo: Feminino";;20210604_121310.jpg (https://airtable.com/appSNyLz7926ZjOoy/tblZ3LajayOokAYnN/recDy59tvNdNnIdqM/fldknrxBWGyUjOsAV/att3dOnEi9Sca0Wjg);;;SIM;Novo;Não;;;;centímetro;;;;;;
403;"Tamanho: P - Bebê;Sexo: Masculino";UN;62092000;0;R$12.87;;;Ativo;1;R$12.87;;;;;;;;;;;;;;"Tamanho: P - Bebê;Sexo: Masculino";"Tamanho: P - Bebê;Sexo: Masculino";1;;;;;produto;;;400;;;;28.059.00;1;"Tamanho: P - Bebê;Sexo: Masculino";;20210604_120834.jpg (https://airtable.com/appSNyLz7926ZjOoy/tblZ3LajayOokAYnN/recuZjhNY0goIMEwa/fldknrxBWGyUjOsAV/attO0vO4OpaRp292Y);;;SIM;Novo;Não;;;;centímetro;;;;;;
405;"Tamanho: G - Bebê;Sexo: Masculino";UN;62092000;0;R$12.87;;;Ativo;1;R$12.87;;;;;;;;;;;;;;"Tamanho: G - Bebê;Sexo: Masculino";"Tamanho: G - Bebê;Sexo: Masculino";1;;;;;produto;;;400;;;;28.059.00;1;"Tamanho: G - Bebê;Sexo: Masculino";;20210604_120834.jpg (https://airtable.com/appSNyLz7926ZjOoy/tblZ3LajayOokAYnN/rec1zEeq1U8eY1x7O/fldknrxBWGyUjOsAV/attO0vO4OpaRp292Y);;;SIM;Novo;Não;;;;centímetro;;;;;;
